14 16 21 24 25 31 37       
12 14 19 26 31 39 40       
 3  6 17 18 21 37 39       
15 16 18 21 24 28 36       
14 21 28 30 33 39 43       
 9 10 23 29 36 39 42       
 6  7 11 16 19 32 38       
 4  8 14 22 30 34 45       
 6 15 29 30 33 35 39       
 1  5 11 14 17 40 47       
 6  7 19 30 37 41 44       
 2  4 22 36 41 43 48       
 1 11 18 19 26 30 34       
 1  6 12 21 28 36 38       
 3  8 11 14 16 25 45       
 4 22 23 24 28 31 48       
 2 18 19 26 40 41 46       
 4  6 10 21 34 38 39       
 9 17 34 38 39 43 49       
 4  5 15 17 34 35 43       
 9 11 14 32 35 44 47       
18 22 25 37 40 45 47       
17 19 20 21 31 32 33       
 2  5 11 17 21 22 31       
 5 19 28 33 34 40 45       
10 11 13 19 26 29 36       
 3  4  8 10 25 38 46       
 2  6 10 33 41 44 49       
 7  8 11 14 24 40 43       
11 23 24 27 30 36 42       
 3 18 20 25 31 40 43       
18 21 28 36 38 40 47       
 3 12 14 24 27 44 46       
 1  2  7 21 25 45 46       
12 17 25 31 34 44 49       
 6 15 23 25 34 40 48       
 6  7 29 30 36 38 43       
 1  4  5 15 25 27 47       
 1  8 17 22 27 28 41       
